query_id,url_id,query_length,is_homepage,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,relevance
4631,28624,2,1,0.09,0.15,1288,352,376,13,0.46,0.35,0
4631,28625,2,1,0.20,0.35,4662,337,666,28,0.43,0.27,1
4631,28626,2,1,0.36,0.49,1121,385,270,15,0.34,0.20,1
4631,28627,2,1,0.21,0.45,2925,478,640,14,0.44,0.33,1
4631,28628,2,1,0.25,0.42,1328,429,412,27,0.40,0.57,1
4631,28629,2,1,0.23,0.44,2147,331,514,39,0.47,0.23,0
4631,28630,2,1,0.24,0.48,1757,9,478,26,0.45,0.32,0
4631,28631,2,1,0.27,0.49,6525,370,818,50,0.41,0.48,1
4631,28632,2,1,0.32,0.43,5644,2605,1064,67,0.43,0.44,0
4632,28633,4,1,0.19,0.21,8460,2631,1296,0,0.59,0.60,0
4632,28634,4,0,0.34,0.21,2744,766,400,0,0.41,0.44,0
4632,28635,4,1,0.34,0.42,865,1317,136,0,0.48,0.70,1
4632,28636,4,0,0.61,0.59,324,544,84,0,0.46,0.67,0
4632,28637,4,1,0.35,0.53,13116,3964,2060,0,0.49,0.62,0
4633,28641,5,1,0.01,0.31,9296,3,1104,0,0.39,0.28,0
4633,28642,5,1,0.09,0.13,14067,121,1132,0,0.41,0.31,0
4633,28643,5,1,0.10,0.32,5832,598,1078,0,0.54,0.30,0
4633,28644,5,1,0.03,0.25,4828,6,628,0,0.41,0.21,0
4633,28645,5,1,0.17,0.38,1706,433,820,0,0.39,0.32,1
4633,28646,5,1,0.01,0.28,4684,1384,748,0,0.42,0.26,0
4633,28647,5,1,0.04,0.40,52295,114,5030,0,0.46,0.38,1
4633,28673,5,1,0.10,0.09,21277,12,2658,0,0.40,0.33,0
4633,28674,5,1,0.10,0.17,4788,1288,632,0,0.27,0.22,0
4634,28648,3,0,0.03,0.13,65,48,14,0,0.33,0.63,1
4634,28649,3,0,0.08,0.19,3544,10450,20,0,0.28,0.29,0
4634,28650,3,0,0.11,0.24,215,31,18,0,0.26,0.17,0
4634,28651,3,0,0.09,0.29,564,706,86,0,0.33,0.52,1
4634,28652,3,0,0.04,0.22,182,366,10,0,0.27,0.31,0
4634,28653,3,0,0.00,0.41,401,354,14,0,0.26,0.09,0
4634,28654,3,0,0.15,0.43,447,1086,22,0,0.39,0.63,1
4634,28655,3,1,0.23,0.33,85,106,6,0,0.18,0.06,0
4634,28656,3,0,0.17,0.32,234,286,36,0,0.32,0.55,1
4635,28657,6,1,0.00,0.05,246,15,26,4,0.13,0.13,0
4635,28658,6,0,0.07,0.22,172,315,2,0,0.21,0.55,0
4635,28659,6,0,0.15,0.46,22,16,2,0,0.12,0.19,0
4635,28660,6,0,0.11,0.31,201,589,6,0,0.13,0.45,0
4635,28661,6,0,0.16,0.28,160,471,22,0,0.09,0.14,0
4635,28662,6,0,0.12,0.54,36,112,0,0,0.14,0.86,1
4635,28663,6,0,0.12,0.28,23,30,10,0,0.08,0.06,0
4636,28664,3,1,0.25,0.32,962,280,64,0,0.14,0.10,0
4636,28665,3,1,0.19,0.25,1045,594,124,0,0.22,0.09,0
4636,28666,3,0,0.10,0.37,693,702,88,0,0.28,0.36,1
4636,28667,3,0,0.22,0.37,6122,17805,88,0,0.17,0.32,1
4636,28700,3,0,0.06,0.45,2178,1053,418,0,0.49,0.56,1
4636,28701,3,0,0.10,0.49,2774,4162,270,0,0.23,0.32,0
4636,28702,3,1,0.26,0.57,3675,583,324,6,0.34,0.23,1
4637,24912,2,1,0.08,0.26,8134,967,466,3,0.30,0.32,0
4637,24917,2,1,0.48,0.62,2674,4231,258,6,0.44,0.40,0
4637,28351,2,0,0.14,0.44,1230,2854,66,0,0.23,0.33,0
4637,28399,2,1,0.10,0.35,7805,831,334,0,0.45,0.36,1
4637,28402,2,1,0.14,0.33,11068,460,284,0,0.33,0.31,1
4637,28407,2,1,0.04,0.30,9029,286,598,13,0.44,0.47,1
4637,28668,2,1,0.06,0.40,10699,1566,600,0,0.40,0.31,1
4637,28669,2,1,0.10,0.06,3036,4375,434,11,0.26,0.26,0
4637,28670,2,0,0.12,0.46,7188,2775,1206,0,0.69,0.84,1
4638,24913,3,1,0.02,0.16,5812,498,546,0,0.27,0.20,0
4638,24917,3,1,0.46,0.58,2636,4389,238,0,0.34,0.37,1
4638,28399,3,1,0.17,0.08,7690,811,254,0,0.41,0.28,1
4638,28402,3,1,0.10,0.35,10988,421,288,0,0.34,0.22,1
4638,28403,3,1,0.08,0.35,4627,1849,366,0,0.42,0.16,0
4638,28404,3,1,0.00,0.09,8662,1548,414,0,0.36,0.20,0
4638,28408,3,1,0.06,0.29,34287,3003,328,0,0.47,0.41,1
4638,28671,3,1,0.00,0.05,4472,952,410,0,0.44,0.22,1
4638,28672,3,1,0.00,0.23,3979,1632,576,0,0.34,0.17,0
4639,28675,1,0,0.38,0.58,689,328,66,1,0.27,0.64,0
4639,28676,1,0,0.22,0.39,1636,385,244,21,0.42,0.86,0
4639,28721,1,0,0.38,0.49,583,1089,32,2,0.25,0.63,0
4639,28722,1,0,0.00,0.31,596,484,114,2,0.39,0.85,0
4639,28723,1,0,0.10,0.15,2506,2043,256,3,0.32,0.21,0
